Aadhar_id,Rationcard_Category,Monthly_Income,Gender,Chronic _Disease,Critical _or _noncritical,Surgery_needed,Target
199000000000,1,10000,1,1,1,1,1
994000000000,1,10000,1,1,1,1,1
299000000000,1,10000,1,1,1,1,1
399000000000,1,10000,1,1,1,1,0
499000000000,1,9000,1,0,0,0,1
699000000000,0,3000,1,0,0,0,0
994000000000,0,3000,1,0,0,0,0
994000000000,0,3000,1,1,1,1,0
994000000000,0,3000,1,1,1,1,1
994000000000,0,2000,1,1,1,1,1
114000000000,0,2000,1,1,1,1,1
124000000000,0,2000,1,1,1,1,0
134000000000,0,2000,1,0,0,0,0
992000000000,1,5000,0,0,0,0,0
993000000000,0,2500,0,0,0,0,0
994000000000,0,2300,0,0,0,0,0
995000000000,1,5000,1,0,0,0,0
995000000000,1,4300,1,1,1,1,0
995000000000,0,2600,1,1,1,1,1
994000000000,0,3000,1,1,1,1,1
994000000000,1,3100,1,1,1,1,0
994000000000,1,3200,1,1,1,1,1
994000000000,1,3100,1,1,1,1,1
994000000000,0,2600,0,1,1,1,1
994000000000,0,3000,0,1,1,1,1
994000000000,0,3000,0,1,1,1,1
994000000000,0,3000,0,0,0,0,1
994000000000,0,3000,0,0,0,0,0
994000000000,1,4000,1,0,0,0,0
994000000000,1,4200,1,1,1,1,1
994000000000,1,4600,1,0,0,0,0
994000000000,1,4300,1,1,1,1,1
994000000000,1,4150,1,0,0,0,0
994000000000,1,4630,1,0,0,0,0
994000000000,1,4900,1,0,0,0,0
994000000000,1,4900,1,0,0,0,0
994000000000,0,1900,1,1,1,1,1
994000000000,0,4400,1,1,1,1,1
994000000000,1,4400,1,1,1,1,1
994000000000,1,4000,1,1,1,1,1
994000000000,0,3000,1,1,1,1,1
994000000000,1,7000,0,1,1,1,1
231000000000,1,25000,1,1,1,1,0
241000000000,1,30000,0,1,1,1,1
531000000000,1,10000,0,0,0,0,0
124000000000,0,3000,1,0,0,0,0
251000000000,1,3100,1,0,0,0,0
261000000000,1,3160,1,0,0,0,0
271000000000,1,3200,1,0,0,0,0
281000000000,1,3400,0,1,1,1,1
291000000000,1,4300,0,1,1,1,1
301000000000,0,3000,0,1,1,1,1
311000000000,1,4900,0,1,1,1,1
321000000000,1,4700,1,1,1,1,1
331000000000,1,4850,1,1,1,1,1
341000000000,1,5000,1,1,1,1,1
351000000000,1,4670,0,1,1,1,1
361000000000,1,4820,0,1,1,1,1
371000000000,1,3200,0,1,1,1,1
381000000000,1,8000,1,0,0,0,0
391000000000,1,8000,1,0,0,0,0
401000000000,1,8900,1,0,0,0,0
411000000000,1,9200,1,0,0,0,0
421000000000,1,10000,1,0,0,0,0
431000000000,1,10050,1,0,0,0,0
441000000000,1,10100,0,0,0,0,0
451000000000,1,7500,0,0,0,0,0
461000000000,1,9000,0,0,0,0,0
471000000000,1,6540,0,0,0,0,0
481000000000,1,9800,0,0,0,0,0
491000000000,1,4563,0,1,1,1,1
501000000000,1,5000,1,1,1,1,1
511000000000,1,3800,1,1,1,1,1
521000000000,1,5000,1,1,1,1,1
531000000000,1,5000,1,1,1,1,1
534000000000,1,5000,1,1,1,1,1
551000000000,1,3900,1,1,1,1,1
561000000000,1,5000,1,1,1,1,1
571000000000,1,5000,1,1,1,1,1
581000000000,1,5000,0,1,1,1,1
134000000000,1,1200,0,1,1,1,1
601000000000,1,4200,0,1,1,1,1
611000000000,1,4250,0,1,1,1,1
